Date,Open,High,Low,Close,Adj_Close,Volume,Symbol,Event
6/1/2018,2718.7,2736.93,2718.7,2734.62,2734.62,3684130000,GSPC,Rescheduled
5/25/2018,2723.6,2727.36,2714.99,2721.33,2721.33,2995260000,GSPC,Rescheduled
5/29/2018,2705.11,2710.67,2676.81,2689.86,2689.86,3736890000,GSPC,Rescheduled
5/30/2018,2702.43,2729.34,2702.43,2724.01,2724.01,3561050000,GSPC,Rescheduled
5/31/2018,2720.98,2722.5,2700.68,2705.27,2705.27,4235370000,GSPC,Rescheduled
6/8/2018,2765.84,2779.39,2763.59,2779.03,2779.03,3123210000,GSPC,Summit
6/11/2018,2780.18,2790.21,2780.17,2782,2782,3232330000,GSPC,Summit
6/12/2018,2785.6,2789.8,2778.78,2786.85,2786.85,3401010000,GSPC,Summit
6/13/2018,2787.94,2791.47,2774.65,2775.63,2775.63,3779230000,GSPC,Summit
6/14/2018,2783.21,2789.06,2776.52,2782.49,2782.49,3526890000,GSPC,Summit
6/1/2018,23.42,23.44,23.33,23.44,23.07,2300,EUXL,Rescheduled
5/25/2018,25.25,25.25,25.25,25.25,24.86,-,EUXL,Rescheduled
5/29/2018,22.45,22.7,21.45,21.78,21.44,9500,EUXL,Rescheduled
5/30/2018,22.9,23.3,22.6,23.17,22.81,8000,EUXL,Rescheduled
5/31/2018,22.63,22.79,22.5,22.79,22.43,9300,EUXL,Rescheduled
6/8/2018,23.96,23.96,23.96,23.96,23.59,300,EUXL,Summit
6/11/2018,24.58,24.79,24.58,24.79,24.4,2600,EUXL,Summit
6/12/2018,24.77,24.77,24.5,24.5,24.12,700,EUXL,Summit
6/13/2018,24.59,24.59,24.59,24.59,24.21,300,EUXL,Summit
6/14/2018,24.59,24.9,24.57,24.57,24.19,2000,EUXL,Summit
6/1/2018,8270.94,8347.58,8231.1,8290.68,8290.68,3684130000,DJA,Rescheduled
5/25/2018,8311.25,8372.12,8269.58,8323.08,8323.08,2995260000,DJA,Rescheduled
5/29/2018,8286.76,8315.46,8158.93,8216.47,8216.47,3736890000,DJA,Rescheduled
5/30/2018,8240.06,8352.97,8216.74,8319.06,8319.06,3561050000,DJA,Rescheduled
5/31/2018,8307.13,8337.44,8196.97,8234.53,8234.53,4235370000,DJA,Rescheduled
6/8/2018,8354.63,8427.27,8313.91,8397.13,8397.13,3123210000,DJA,Summit
6/11/2018,8403.4,8477.28,8351.97,8411.81,8411.81,3232330000,DJA,Summit
6/12/2018,8418.49,8486.33,8365.19,8433.63,8433.63,3401010000,DJA,Summit
6/13/2018,8437.81,8491.19,8360.09,8390.05,8390.05,3779230000,DJA,Summit
6/14/2018,8407.21,8469.7,8349.97,8401.05,8401.05,3526890000,DJA,Summit
